camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,stem_height,stem_angle,stem_length
none,none,none,none,none,none,none,2019-06-10_11-54-22.585,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_11-54-22.585_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_11-54-22.585_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_12-37-42.508,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_12-37-42.508_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_12-37-42.508_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_14-40-44.257,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_14-40-44.257_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_14-40-44.257_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_15-19-13.053,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_15-19-13.053_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_15-19-13.053_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_16-19-07.841,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_16-19-07.841_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_16-19-07.841_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_17-19-02.579,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_17-19-02.579_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_17-19-02.579_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_18-21-15.995,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_18-21-15.995_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_18-21-15.995_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_19-19-00.924,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_19-19-00.924_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_19-19-00.924_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_20-19-11.694,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_20-19-11.694_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_20-19-11.694_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_21-19-01.607,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_21-19-01.607_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_21-19-01.607_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_22-19-03.741,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_22-19-03.741_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_22-19-03.741_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-10_23-19-01.760,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-10_23-19-01.760_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-10_23-19-01.760_0.tif,NA,NA,NA
none,none,none,none,none,none,none,2019-06-11_00-19-07.974,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_00-19-07.974_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_00-19-07.974_0.tif,23,7.314146995544434,22.742640614509583
none,none,none,none,none,none,none,2019-06-11_01-19-31.856,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_01-19-31.856_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_01-19-31.856_0.tif,47,12.059365272521973,47.985281229019165
none,none,none,none,none,none,none,2019-06-11_02-19-07.865,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_02-19-07.865_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_02-19-07.865_0.tif,60,-11.150304794311523,63.2634556889534
